,Galaxy,scale,Sigma,Vdisp,alphavir
71295,NGC4038/9,80.0,278.5531921386719,16.931600138376762,5.982060812129977
44330,NGC3256,80.0,309.5996950299813,16.0676405590373,4.811489080573388
124882,NGC2997,90.0,45.22,10.03,11.41
60370,NGC4038/9,80.0,198.4826202392578,7.618098294702846,1.6995486149120629
158578,NGC4689,90.0,64.58,6.021,2.879
33321,NGC3256,80.0,173.44929188559195,18.599746761685385,11.50846349722711
174368,NGC6300,90.0,253.4,22.52,10.26
127192,NGC2997,90.0,46.89,5.145,2.895
127815,NGC2997,90.0,24.4,4.196,3.702
60714,NGC4038/9,80.0,263.2303161621094,17.085511396557706,6.445891689406789
123804,NGC2997,90.0,15.58,2.605,2.235
60111,NGC4038/9,80.0,68.71851348876953,4.3352465262137585,1.5897058388812946
108454,NGC0628,90.0,16.86,5.626,9.631
56377,NGC4038/9,80.0,545.0375366210938,34.23072439366652,12.495933793278816
112834,NGC1637,90.0,26.95,7.547,10.84
149573,NGC3627,90.0,26.27,4.245,3.519
130886,NGC2997,90.0,16.0,3.538,4.012
162856,NGC4781,90.0,9.377,4.301,10.12
155969,NGC4424,90.0,195.0,13.66,4.911
69391,NGC4038/9,80.0,62.264339447021484,5.6581028421883675,2.988582439797928
169219,NGC5530,90.0,40.75,3.387,1.444
175364,NGC6300,90.0,13.11,4.074,6.496
149841,NGC3627,90.0,42.0,5.132,3.216
171926,NGC5643,90.0,65.05,4.711,1.75
38027,NGC3256,80.0,750.1875572434898,27.739694596051322,5.9184680469276305
56173,NGC4038/9,80.0,496.7886047363281,45.17247007771632,23.874758256572807
118663,NGC2903,90.0,18.8,7.455,15.16
33239,NGC3256,80.0,104.23245896395382,9.894676912645789,5.419710209963817
115105,NGC2283,90.0,13.59,3.347,4.227
159762,NGC4689,90.0,50.44,3.276,1.091
123714,NGC2997,90.0,49.29,7.278,5.511
128310,NGC2997,90.0,404.5,6.464,0.5299
127929,NGC2997,90.0,26.0,4.241,3.549
129451,NGC2997,90.0,24.65,7.185,10.74
178654,NGC6744,90.0,27.03,3.082,1.802
138798,NGC3521,90.0,5.832,2.765,6.721
177840,NGC6300,90.0,38.0,4.908,3.251
160679,NGC4689,90.0,22.39,3.721,3.171
166115,NGC5248,90.0,59.88,7.093,4.309
151153,NGC3627,90.0,80.25,8.188,4.285
124578,NGC2997,90.0,26.27,4.328,3.657
69730,NGC4038/9,80.0,219.56124877929688,41.168453647151445,44.86796641350367
159893,NGC4689,90.0,35.38,5.006,3.632
43811,NGC3256,80.0,191.0816650052305,9.329662478063993,2.6283830699521396
131432,NGC2997,90.0,38.81,8.311,9.128
153324,NGC3627,90.0,265.9,8.772,1.484
56295,NGC4038/9,80.0,33.42832946777344,2.1556488838508105,0.8079869031100608
41292,NGC3256,80.0,697.2258806538442,38.95378327212039,12.557454143668236
